district,river,rainfall_mm,river_level_m,dmc_alert,temperature,humidity,flood_occurred
Matara,Nilwala Ganga,105,3.9,1,26,83,1
Matara,Nilwala Ganga,35,1.6,0,25,70,0
Kurunegala,Deduru Oya,208,0.4,1,28,77,1
Colombo,Kelani Ganga,22,3.5,0,24,84,0
Badulla,Mahaweli Ganga,23,4.2,0,28,75,0
Gampaha,Attanagalu Oya,51,0.1,0,29,82,0
Kalutara,Kalu Ganga,109,1.9,1,33,77,1
Matara,Nilwala Ganga,108,6.7,1,24,71,1
Galle,Gin Ganga,232,1.7,1,28,69,1
Galle,Gin Ganga,179,6.7,1,29,62,1
Gampaha,Attanagalu Oya,147,6.7,1,24,72,1
Kalutara,Kalu Ganga,173,6.0,1,24,85,1
Jaffna,None,166,5.5,1,32,72,1
Kandy,Mahaweli Ganga,46,2.2,0,30,92,0
Kurunegala,Deduru Oya,51,7.4,0,24,77,1
Jaffna,None,242,3.9,1,24,70,1
Jaffna,None,212,2.0,1,33,71,1
Kandy,Mahaweli Ganga,193,4.3,1,30,91,1
Gampaha,Attanagalu Oya,111,2.4,1,24,73,1
Galle,Gin Ganga,44,2.7,0,28,87,0
Jaffna,None,152,3.9,1,31,72,1
Badulla,Mahaweli Ganga,41,0.2,0,31,93,0
Gampaha,Attanagalu Oya,71,3.8,0,24,88,0
Kandy,Mahaweli Ganga,64,2.8,0,25,91,0
Kurunegala,Deduru Oya,87,6.3,0,30,88,1
Jaffna,None,195,6.5,1,25,90,1
Matara,Nilwala Ganga,246,3.3,1,30,69,1
Kandy,Mahaweli Ganga,164,4.2,1,26,68,1
Colombo,Kelani Ganga,149,7.3,1,31,76,1
Badulla,Mahaweli Ganga,212,5.5,1,33,86,1
Colombo,Kelani Ganga,64,6.0,0,28,85,1
Gampaha,Attanagalu Oya,205,1.1,1,30,80,1
Gampaha,Attanagalu Oya,80,7.3,0,31,60,1
Badulla,Mahaweli Ganga,176,6.9,1,26,85,1
Jaffna,None,58,0.3,0,26,81,0
Gampaha,Attanagalu Oya,217,1.4,1,25,66,1
Colombo,Kelani Ganga,32,1.8,0,29,83,0
Matara,Nilwala Ganga,246,2.4,1,33,75,1
Colombo,Kelani Ganga,210,7.7,1,26,70,1
Kandy,Mahaweli Ganga,140,5.2,1,28,66,1
Jaffna,None,158,4.4,1,29,68,1
Ratnapura,Kalu Ganga,18,7.5,0,29,85,1
Kalutara,Kalu Ganga,40,3.4,0,24,65,0
Galle,Gin Ganga,78,2.6,0,32,60,0
Galle,Gin Ganga,50,1.7,0,25,92,0
Ratnapura,Kalu Ganga,157,4.3,1,28,71,1
Badulla,Mahaweli Ganga,231,1.8,1,30,77,1
Kurunegala,Deduru Oya,19,5.3,0,25,82,1
Matara,Nilwala Ganga,108,7.8,1,29,69,1
Matara,Nilwala Ganga,144,7.1,1,32,86,1
Colombo,Kelani Ganga,150,1.9,1,31,86,1
Ratnapura,Kalu Ganga,230,2.4,1,32,83,1
Kandy,Mahaweli Ganga,63,7.4,0,33,69,1
Gampaha,Attanagalu Oya,36,3.7,0,29,61,0
Badulla,Mahaweli Ganga,164,3.2,1,24,83,1
Kandy,Mahaweli Ganga,24,5.9,0,33,61,1
Matara,Nilwala Ganga,80,0.4,0,28,90,0
Kurunegala,Deduru Oya,125,5.5,1,26,65,1
Galle,Gin Ganga,142,3.4,1,32,76,1
Kandy,Mahaweli Ganga,118,7.3,1,29,85,1
Matara,Nilwala Ganga,204,3.0,1,31,71,1
Gampaha,Attanagalu Oya,34,3.5,0,30,86,0
Jaffna,None,31,7.5,0,27,71,1
Kurunegala,Deduru Oya,11,4.3,0,27,78,0
Matara,Nilwala Ganga,133,2.6,1,32,90,1
Matara,Nilwala Ganga,152,3.4,1,29,93,1
